,0,1,2
258,CENTRO DE ENSINO FUNDAMENTAL BONSUCESSO,-15.505641599999999,-47.5852943
259,ESCOLA CLASSE NATUREZA,-15.7524416,-47.7148903
260,CENTRO DE ENSINO FUNDAMENTAL 20 DE CEILÂNDIA,-15.801374699999998,-48.1164914
261,ESCOLA CLASSE 411 NORTE,-15.752824599999999,-47.8820537
262,ESCOLA CLASSE 04 DO CRUZEIRO,-15.7730278,-47.776685699999994
263,CENTRO DE ENSINO FUNDAMENTAL 02 DO GUARÁ,-15.8158398,-47.9780995
264,ESCOLA CLASSE VILA NOVA,-15.910745299999999,-47.7587921
265,CENTRO DE ENSINO MÉDIO 09 DE CEILÂNDIA,-15.7915332,-48.1242418
266,ESCOLA CLASSE 19 DO GAMA,-16.0081093,-48.0789025
267,CENTRO EDUCACIONAL DO LAGO,-15.8397974,-47.8765329
268,Escola Classe 02 da Estrutural,-15.7911761,-48.0247396
269,CENTRO DE ENSINO FUNDAMENTAL SANTOS DUMONT,-15.9931954,-47.9973525
270,ESCOLA CLASSE 17 DE CEILÂNDIA,-15.7973878,-48.1229617
271,CENTRO DE ENSINO FUNDAMENTAL 08 DE SOBRADINHO,-15.639508699999999,-47.8282992
272,CENTRO EDUCACIONAL DO LAGO NORTE,-15.7178811,-47.8789176
273,CENTRO DE ENSINO FUNDAMENTAL 31 DE CEILÂNDIA,-15.798705799999999,-48.1346591
274,CENTRO DE ENSINO FUNDAMENTAL 19 DE TAGUATINGA,-15.820573099999999,-48.0791968
275,CENTRO DE ENSINO FUNDAMENTAL 12 DE CEILÂNDIA,-15.7962315,-48.1194998
276,Centro de Ensino Médio 10 de Ceilândia,-15.9203821,-48.058374099999995
277,ESCOLA CLASSE ENGENHO VELHO,-15.601687,-47.869391
278,ESCOLA CLASSE 01 DA VILA ESTRUTURAL,,
279,ESCOLA CLASSE 316 SUL,-15.8304514,-47.9271531
280,CENTRO DE ENSINO FUNDAMENTAL 10 DE CEILÂNDIA,-15.8054385,-48.124953999999995
281,ESCOLA CLASSE 12 DE CEILÂNDIA,-15.7821702,-47.9863603
282,ESCOLA CLASSE SANTOS DUMONT,-15.6787125,-47.6482543
283,Centro de Ensino Fundamental 10 do Guará,-15.851039199999999,-47.962737999999995
284,CENTRO DE ENSINO FUNDAMENTAL 206 DO RECANTO DAS EMAS,-15.906128299999999,-48.0689801
285,CENTRO DE ENSINO FUNDAMENTAL 01 DO GAMA,-16.018587699999998,-48.0546052
286,Centro de Ensino Fundamental 05 do Paranoá,-15.779475499999998,-47.783225099999996
287,ESCOLA CLASSE 206 SUL,-15.816173,-47.896805
288,CENTRO DE ENSINO FUNDAMENTAL 03 DE PLANALTINA,-15.615751999999999,-47.6409038
289,ESCOLA CLASSE ESTÂNCIA DE PLANALTINA,-15.605904299999999,-47.6700936
290,Escola Classe 01 do Riacho Fundo II,-15.896268999999998,-48.0495331
291,Centro de Ensino Médio 304 de Samambaia,-15.879465199999999,-48.0792697
292,Centro de Educação Infantil do Riacho Fundo II,-15.8998236,-48.053597599999996
293,Escola Classe Café sem Troco,-15.919444499999999,-47.6059036
294,CENTRO DE ENSINO FUNDAMENTAL 15 DO GAMA,-16.034771199999998,-48.0624715
295,ESCOLA CLASSE 403 NORTE,-15.777477,-47.875831
296,ESCOLA CLASSE 510 DO RECANTO DAS EMAS,-15.932640399999999,-48.1068722
297,CENTRO DE ENSINO FUNDAMENTAL SARGENTO LIMA,-15.9812043,-47.9748696
298,ESCOLA CLASSE 34 DE CEILÂNDIA,-15.832993,-48.1320124
299,CENTRO EDUCACIONAL OSÓRIO BACCHIN,-15.5268269,-47.6304425
300,ESCOLA CLASSE 111 DE SAMAMBAIA,-15.872636799999999,-48.075078399999995
301,Centro de Ensino Fundamental 25 de Ceilândia,-15.8150506,-48.1281226
302,Jardim de Infância 05 do Gama,-16.0155669,-48.0784635
303,CENTRO DE ENSINO FUNDAMENTAL 16 DE TAGUATINGA,-15.8250458,-48.0911147
304,ESCOLA CLASSE 01 DO PARANOÁ,-15.833675699999999,-48.091914599999996
305,ESCOLA CLASSE 02 DO GAMA,-16.0081093,-48.0789025
306,Centro de Ensino Fundamental 01 do Riacho Fundo II,-15.902014699999999,-48.048192
307,JARDIM DE INFÂNCIA 603 DO RECANTO DAS EMAS,-15.917890799999999,-48.0574067
308,ESCOLA CLASSE 405 NORTE,-15.909063399999999,-48.065032599999995
309,ESCOLA CLASSE DO SRIA,-15.768212799999999,-47.891628
310,ESCOLA CLASSE 01 DE SOBRADINHO,-15.649670599999999,-47.799071999999995
311,CENTRO DE EDUCAÇÃO INFANTIL 03 DE SOBRADINHO,,
312,CENTRO DE ENSINO FUNDAMENTAL 28 DE CEILÂNDIA,-15.8108831,-48.139934
313,CENTRO EDUCACIONAL SÃO JOSÉ,-15.912716399999999,-47.7591459
